Sl_no,Survival_Status,Ticket_Class,Gender,Age,Spouses/Siblings Aboard,Parents/Children Aboard,Ticket_Fare
771,0,3,0,23,0,0,7.75
772,0,3,0,28,0,0,15.85
773,1,2,0,83,0,2,6.75
774,1,3,1,30,0,0,11.5
775,0,3,0,22,0,0,36.75
776,1,3,0,29,0,0,7.7958
777,1,3,1,31,0,0,34.375
778,0,1,0,28,0,0,26
779,1,2,1,17,0,0,13
780,1,3,1,33,3,0,12.525
781,0,3,0,16,1,3,66.6
782,0,3,0,20,0,0,8.05
783,1,1,1,23,3,2,14.5
784,0,3,0,24,0,0,7.3125
785,0,3,0,29,0,0,61.3792
786,0,3,0,20,0,0,7.7333
787,0,1,0,46,1,0,8.05
788,0,3,0,26,1,2,8.6625
789,0,3,0,59,0,0,69.55
790,0,3,0,22,0,0,8.05
791,0,1,0,71,0,0,34.6542
792,1,1,0,23,0,1,63.3583
793,1,2,1,34,0,1,23
794,0,2,0,34,1,0,26
795,0,3,1,28,0,0,7.8958
796,0,3,0,29,0,0,7.8958
797,0,1,0,21,0,1,77.2875
798,0,3,0,33,0,0,8.6542
799,0,3,0,37,2,0,7.925
800,0,3,0,28,0,0,7.8958
801,1,3,1,21,0,0,7.65
802,1,3,0,29,0,0,7.775
803,0,3,0,38,0,0,7.8958
804,1,3,1,28,1,0,24.15
805,0,1,0,47,0,0,52
806,0,3,1,14.5,1,0,14.4542
807,0,3,0,22,0,0,8.05
808,0,3,1,20,1,0,9.825
809,0,3,1,17,0,0,14.4583
810,0,3,0,21,0,0,7.925
811,0,3,0,70.5,0,0,7.75
812,0,2,0,29,1,0,21
813,0,1,0,24,0,1,247.5208
814,0,3,1,2,4,2,31.275
815,0,2,0,21,2,0,73.5
816,0,3,0,19,0,0,8.05
817,0,2,0,32.5,1,0,30.0708
818,1,2,1,32.5,0,0,13
819,0,1,0,54,0,1,77.2875
820,1,3,0,12,1,0,11.2417
821,0,3,0,19,0,0,7.75
822,1,3,0,24,0,0,7.1417
823,1,3,1,2,1,1,22.3583
824,0,3,0,45,0,0,6.975
825,0,3,0,33,0,0,7.8958
826,0,3,0,20,0,0,10.5
827,0,3,1,47,1,0,8.1583
828,1,2,1,29,1,0,7.925
829,0,2,0,25,0,0,8.6625
830,0,2,0,23,0,0,10.5
831,1,1,1,19,0,2,46.9
832,0,1,0,37,1,0,73.5
833,0,3,0,16,0,0,14.4542
834,0,1,0,24,0,0,56.4958
835,0,3,1,40,0,2,7.65
836,1,3,1,22,0,0,7.8958
837,1,3,1,24,1,0,8.05
838,0,3,0,19,0,0,29
839,0,2,0,18,0,0,12.475
840,0,2,0,19,1,1,9
841,1,3,0,27,0,0,9.5
842,0,3,1,9,2,2,7.7875
843,0,2,0,28,0,0,13.5
844,0,3,0,40,0,0,8.05
845,0,3,1,62,0,0,8.05
846,0,3,0,24,2,0,24.15
847,0,3,0,19,0,0,7.8958
848,0,3,1,29,0,4,21.075
849,0,3,0,28,0,0,7.2292
850,1,3,0,32,0,0,7.8542
851,1,2,0,62,0,0,10.5
852,1,1,1,53,2,0,51.4792
853,1,1,0,36,0,0,26.3875
854,1,3,1,22,0,0,7.75
855,0,3,0,16,0,0,8.05
856,0,3,0,19,0,0,14.5
857,1,2,1,34,0,0,13
858,1,1,1,39,1,0,55.9
859,0,3,1,18,1,0,14.4583
860,1,3,0,32,0,0,7.925
861,1,2,1,25,1,1,30
862,1,1,1,39,1,1,110.8833
863,0,2,0,54,0,0,26
864,0,1,0,36,0,0,40.125
865,0,3,0,16,0,0,8.7125
866,1,1,1,18,0,2,79.65
867,0,2,0,47,0,0,15
868,1,1,0,60,1,1,79.2
869,0,3,0,22,0,0,8.05
870,0,3,0,22,0,0,8.05
871,0,3,0,35,0,0,7.125
872,1,1,1,52,1,0,78.2667
873,0,3,0,47,0,0,7.25
874,0,3,1,40,0,2,7.75
875,0,2,0,37,1,0,26
876,0,3,0,36,1,1,24.15
877,1,2,1,31,0,0,33
878,0,3,0,49,0,0,0
879,0,3,0,18,0,0,7.225
880,1,1,0,49,1,0,56.9292
881,1,2,1,24,2,1,27
882,0,3,0,42,0,0,7.8958
883,0,1,0,37,0,0,42.4
884,0,3,0,44,0,0,8.05
885,1,1,0,35,0,0,26.55
886,0,3,0,36,1,0,15.55
887,0,3,0,30,0,0,7.8958
888,1,1,0,27,0,0,30.5
889,1,2,1,22,1,2,41.5792
890,1,1,1,40,0,0,153.4625
891,0,3,1,39,1,5,31.275
892,0,3,0,21,0,0,7.05
893,1,3,1,18,1,0,15.5
894,0,3,0,22,0,0,7.75
895,0,3,0,35,0,0,8.05
896,1,2,1,24,1,2,65
897,0,3,0,34,1,1,14.4
898,0,3,1,26,1,0,16.1
899,1,2,1,4,2,1,39
900,0,2,0,26,0,0,10.5
901,0,3,0,27,1,0,14.4542
902,1,1,0,42,1,0,52.5542
903,1,3,0,20,1,1,15.7417
904,0,3,0,21,0,0,7.8542
905,0,3,0,21,0,0,16.1
906,0,1,0,61,0,0,32.3208
907,0,2,0,57,0,0,12.35
908,1,1,1,21,0,0,77.9583
909,0,3,0,26,0,0,7.8958
910,0,3,0,18,0,0,7.7333
911,1,1,0,80,0,0,30
912,0,3,0,51,0,0,7.0542
913,1,1,0,32,0,0,30.5
914,0,1,0,30,0,0,0
915,0,3,1,9,3,2,27.9
916,1,2,1,28,0,0,13
917,0,3,0,32,0,0,7.925
918,0,2,0,31,1,1,26.25
919,0,3,1,41,0,5,39.6875
920,0,3,0,37,1,0,16.1
921,0,3,0,20,0,0,7.8542
922,1,1,1,24,0,0,69.3
923,0,3,1,2,3,2,27.9
924,1,3,0,32,0,0,56.4958
925,1,3,1,75,2,1,19.2583
926,1,1,0,48,1,0,76.7292
927,0,3,0,19,0,0,7.8958
928,1,1,0,56,0,0,35.5
929,0,3,0,21,0,0,7.55
930,1,3,1,23,0,0,7.55
931,0,3,0,23,0,0,7.8958
932,1,2,1,18,0,1,23
933,0,3,0,21,0,0,8.4333
934,1,3,1,16,0,0,7.8292
935,0,3,1,18,0,0,6.75
936,0,2,0,24,2,0,73.5
937,0,3,0,27,0,0,7.8958
938,0,3,1,32,1,1,15.5
939,0,2,0,23,0,0,13
940,0,1,0,58,0,2,113.275
941,1,1,0,50,2,0,133.65
942,0,3,0,40,0,0,7.225
943,0,1,0,47,0,0,25.5875
944,0,3,0,36,0,0,7.4958
945,1,3,0,20,1,0,7.925
946,0,2,0,32,2,0,73.5
947,0,2,0,25,0,0,13
948,0,3,0,49,0,0,7.775
949,0,3,0,43,0,0,8.05
950,1,1,1,48,1,0,52
951,1,2,1,40,1,1,39
952,0,1,0,31,1,0,52
953,0,2,0,70,0,0,10.5
954,1,2,0,31,0,0,13
955,0,2,0,19,0,0,0
956,0,3,0,18,0,0,7.775
957,0,3,0,24,0,0,8.05
958,1,3,1,18,0,0,9.8417
959,0,3,1,43,1,6,46.9
960,1,1,0,36,0,1,512.3292
961,0,3,1,28,0,0,8.1375
962,1,1,0,27,0,0,76.7292
963,0,3,0,20,0,0,9.225
964,0,3,0,14,5,2,46.9
965,0,2,0,60,1,1,39
966,0,2,0,25,1,2,41.5792
967,0,3,0,14,4,1,39.6875
968,0,3,0,19,0,0,10.1708
969,0,3,0,18,0,0,7.7958
970,1,1,1,15,0,1,211.3375
971,1,1,0,31,1,0,57
972,1,3,1,4,0,1,13.4167
973,1,3,0,37,0,0,56.4958
974,0,3,0,25,0,0,7.225
975,0,1,0,60,0,0,26.55
976,0,2,0,52,0,0,13.5
977,0,3,0,44,0,0,8.05
978,1,3,1,19,0,0,7.7333
979,0,1,0,49,1,1,110.8833
980,0,3,0,42,0,0,7.65
981,1,1,1,18,1,0,227.525
982,1,1,0,35,0,0,26.2875
983,0,3,1,18,0,1,14.4542
984,0,3,0,25,0,0,7.7417
985,0,3,0,26,1,0,7.8542
986,0,2,0,39,0,0,26
987,1,2,1,45,0,0,13.5
988,1,1,0,42,0,0,26.2875
989,1,1,1,22,0,0,151.55
990,1,3,0,4,1,1,15.2458
991,1,1,1,24,0,0,49.5042
992,0,1,0,41,0,0,26.55
993,1,1,0,48,1,0,52
994,0,3,0,29,0,0,9.4833
995,0,2,0,52,0,0,13
996,0,3,0,19,0,0,7.65
997,1,1,1,38,0,0,227.525
998,1,2,1,27,0,0,10.5
999,0,3,0,33,0,0,7.775
1000,1,2,1,6,0,1,33
1001,0,3,0,17,1,0,7.0542
1002,0,2,0,34,0,0,13
1003,0,2,0,50,0,0,13
1004,1,1,0,27,1,0,53.1
1005,0,3,0,20,0,0,8.6625
1006,1,2,1,30,3,0,21
1007,1,3,1,28,0,0,7.7375
1008,0,2,0,25,1,0,26
1009,0,3,1,25,1,0,7.925
1010,1,1,1,29,0,0,211.3375
1011,0,3,0,11,0,0,18.7875
1012,0,2,0,41,0,0,0
1013,0,2,0,23,0,0,13
1014,0,2,0,23,0,0,13
1015,0,3,0,28,0,0,16.1
1016,0,3,1,48,1,3,34.375
1017,1,1,0,35,0,0,512.3292
1018,0,3,0,20,0,0,7.8958
1019,0,3,0,32,0,0,7.8958
1020,1,1,0,45,0,0,30
1021,0,1,0,36,1,0,78.85
1022,1,1,1,21,2,2,262.375
1023,0,3,0,24,1,0,16.1
1024,1,3,0,31,0,0,7.925
1025,0,1,0,70,1,1,71
1026,0,3,0,16,1,1,20.25
1027,1,2,1,30,0,0,13
1028,0,1,0,19,1,0,53.1
1029,0,3,0,31,0,0,7.75
1030,1,2,1,4,1,1,23
1031,1,3,0,6,0,1,12.475
1032,0,3,0,33,0,0,9.5
1033,0,3,0,23,0,0,7.8958
1034,1,2,1,48,1,2,65
1035,1,2,0,2,1,1,14.5
1036,0,3,0,28,0,0,7.7958
1037,0,2,0,18,0,0,11.5
1038,0,3,0,34,0,0,8.05
1039,1,1,1,33,0,0,86.5
1040,0,3,0,23,0,0,14.5
1041,0,3,0,41,0,0,7.125
1042,1,3,0,20,0,0,7.2292
1043,1,1,1,36,1,2,120
1044,0,3,0,16,0,0,7.775
1045,1,1,1,51,1,0,77.9583
1046,0,1,0,46,0,0,39.6
1047,0,3,1,34,0,0,7.75
1048,0,3,0,28,1,0,24.15
1049,0,3,0,32,0,0,8.3625
1050,0,3,0,24,0,0,9.5
1051,0,3,0,48,0,0,7.8542
1052,0,2,1,57,0,0,10.5
1053,0,3,0,29,0,0,7.225
1054,1,2,1,54,1,3,23
1055,0,3,0,18,0,0,7.75
1056,0,3,0,20,0,0,7.75
1057,1,3,1,5,0,0,12.475
1058,0,3,0,22,0,0,7.7375
1059,1,1,1,43,0,1,211.3375
1060,1,3,1,13,0,0,7.2292
1061,1,1,1,17,1,0,57
1062,0,1,0,29,0,0,30
1063,0,3,0,35,1,2,23.45
1064,0,3,0,25,0,0,7.05
1065,0,3,0,25,0,0,7.25
1066,1,3,1,18,0,0,7.4958
1067,0,3,0,8,4,1,29.125
1068,1,3,0,1,1,2,20.575
1069,0,1,0,46,0,0,79.2
1070,0,3,0,20,0,0,7.75
1071,0,2,0,16,0,0,26
1072,0,3,1,21,8,2,69.55
1073,0,1,0,43,0,0,30.6958
1074,0,3,0,25,0,0,7.8958
1075,0,2,0,39,0,0,13
1076,1,1,1,49,0,0,25.9292
1077,1,3,1,31,0,0,8.6833
1078,0,3,0,30,0,0,7.2292
1079,0,3,1,30,1,1,24.15
1080,0,2,0,34,0,0,13
1081,1,2,1,31,1,1,26.25
1082,1,1,0,11,1,2,120
1083,1,3,0,2,0,1,8.5167
1084,1,3,0,27,0,0,6.975
1085,0,3,0,31,0,0,7.775
1086,0,1,0,39,0,0,0
1087,0,3,1,18,0,0,7.775
1088,0,2,0,39,0,0,13
1089,1,1,1,33,1,0,53.1
1090,0,3,0,26,0,0,7.8875
1091,0,3,0,39,0,0,24.15
1092,0,2,0,35,0,0,10.5
1093,0,3,1,6,4,2,31.275
1094,0,3,0,32,0,0,8.05
1095,0,1,0,39,0,0,0
1096,0,3,1,23,0,0,7.925
1097,0,2,0,31,1,1,37.0042
1098,0,3,0,43,0,0,6.45
1099,0,3,0,10,3,2,27.9
1100,1,1,1,52,1,1,93.5
1101,1,3,0,27,0,0,8.6625
1102,0,1,0,38,0,0,0
1103,1,3,1,27,0,1,12.475
1104,0,3,0,2,4,1,39.6875
1105,0,3,0,18,0,0,8.3
1106,1,1,1,39,1,1,83.1583
1107,0,3,0,21,0,0,8.6625
1108,0,3,0,20,0,0,8.05
1109,1,3,0,32,0,0,56.4958
1110,1,1,0,29,0,0,29.7
1111,0,3,0,20,0,0,7.925
1112,0,2,0,16,0,0,10.5
1113,1,1,1,30,0,0,31
1114,0,3,0,35,0,0,6.4375
1115,0,3,0,17,0,0,8.6625
1116,0,3,0,42,0,0,7.55
1117,0,3,0,18,8,2,69.55
1118,0,3,0,35,0,0,7.8958
1119,0,2,0,28,0,1,33
1120,1,1,1,40,1,0,89.1042
1121,0,3,0,4,4,2,31.275
1122,0,3,0,74,0,0,7.775
1123,0,3,1,9,1,1,15.2458
1124,1,1,1,16,0,1,39.4
1125,0,2,1,44,1,0,26
1126,1,3,1,18,0,1,9.35
1127,1,1,1,45,1,1,164.8667
1128,1,1,0,51,0,0,26.55
1129,1,3,1,24,0,3,19.2583
1130,0,3,0,30,0,0,7.2292
1131,0,3,0,41,2,0,14.1083
1132,0,2,0,21,1,0,11.5
1133,1,1,1,48,0,0,25.9292
1134,0,3,1,14,8,2,69.55
1135,0,2,0,24,0,0,13
1136,1,2,1,42,0,0,13
1137,1,2,1,27,1,0,13.8583
1138,0,1,0,31,0,0,50.4958
1139,0,3,0,23,0,0,9.5
1140,1,3,0,4,1,1,11.1333
1141,0,3,0,26,0,0,7.8958
1142,1,1,1,47,1,1,52.5542
1143,0,1,0,33,0,0,5
1144,0,3,0,47,0,0,9
1145,1,2,1,28,1,0,24
1146,1,3,1,15,0,0,7.225
1147,0,3,0,20,0,0,9.8458
1148,0,3,0,19,0,0,7.8958
1149,0,3,0,23,0,0,7.8958
1150,1,1,1,56,0,1,83.1583
1151,1,2,1,25,0,1,26
1152,0,3,0,33,0,0,7.8958
1153,0,3,1,22,0,0,10.5167
1154,0,2,0,28,0,0,10.5
1155,0,3,0,25,0,0,7.05
1156,0,3,1,39,0,5,29.125
1157,0,2,0,27,0,0,13
1158,1,1,1,19,0,0,30
1159,0,3,1,7,1,2,23.45
1160,1,1,0,26,0,0,30
1161,0,3,0,32,0,0,7.75
1162,1,1,1,48,1,0,146.5208
1163,1,3,1,18,0,0,7.75
1164,0,2,0,66,0,0,10.5
1165,0,1,0,28,1,0,7.25
1166,0,1,0,42,1,0,71.2833
1167,1,3,0,18,0,0,7.925
1168,0,3,0,21,0,0,53.1
1169,0,3,1,18,2,0,8.05
1170,1,3,1,14,1,0,8.4583
1171,0,3,1,40,1,0,51.8625
1172,0,2,1,27,1,0,21.075
1173,1,2,1,3,1,2,11.1333
1174,1,3,1,19,0,0,30.0708
1175,0,3,0,30,0,0,16.7
1176,0,3,0,20,1,0,26.55
1177,1,3,1,27,0,0,8.05
1178,0,3,0,16,2,0,31.275
1179,0,3,1,18,1,0,7.8542
1180,0,3,0,7,4,1,16
1181,0,3,0,21,0,0,29.125
1182,1,1,1,49,1,0,13
1183,1,2,1,29,1,0,26
1184,0,1,0,65,0,1,61.9792
1185,1,1,0,46,0,0,35.5
1186,1,2,1,21,0,0,10.5
1187,0,3,0,28.5,0,0,7.2292
1188,1,2,1,5,1,2,27.75
1189,0,3,0,11,5,2,46.9
1190,0,3,0,22,0,0,7.2292
1191,1,1,1,38,0,0,80
1192,0,1,0,45,1,0,83.475
1193,0,3,0,4,3,2,27.9
1194,0,1,0,64,0,0,27.7208
1195,1,3,0,7,1,1,15.2458
1196,1,2,1,29,0,0,7.05
1197,0,3,0,19,0,0,14.5
1198,1,3,1,17,4,2,26
1199,0,3,0,26,2,0,13
1200,0,2,0,32,0,0,15.0458
1201,0,3,1,16,5,2,26.2833
1202,0,2,0,21,0,0,53.1
1203,0,3,0,26,1,0,9.2167
1204,1,3,0,32,0,0,79.2
1205,0,3,0,25,0,0,15.2458
1206,0,3,0,23,0,0,7.75
1207,0,3,0,28,0,0,15.85
1208,1,2,0,83,0,2,6.75
1209,1,3,1,30,0,0,11.5
1210,0,3,0,22,0,0,36.75
1211,1,3,0,29,0,0,7.7958
1212,1,3,1,31,0,0,34.375
1213,0,1,0,28,0,0,26
1214,1,2,1,17,0,0,13
1215,1,3,1,33,3,0,12.525
1216,0,3,0,16,1,3,66.6
1217,0,3,0,20,0,0,8.05
1218,1,1,1,23,3,2,14.5
1219,0,3,0,24,0,0,7.3125
1220,0,3,0,29,0,0,61.3792
1221,0,3,0,20,0,0,7.7333
1222,0,1,0,46,1,0,8.05
1223,0,3,0,26,1,2,8.6625
1224,0,3,0,59,0,0,69.55
1225,0,3,0,22,0,0,8.05
1226,0,1,0,71,0,0,34.6542
1227,1,1,0,23,0,1,63.3583
1228,1,2,1,34,0,1,23
1229,0,2,0,34,1,0,26
1230,0,3,1,28,0,0,7.8958
1231,0,3,0,29,0,0,7.8958
1232,0,1,0,21,0,1,77.2875
1233,0,3,0,33,0,0,8.6542
1234,0,3,0,37,2,0,7.925
1235,0,3,0,28,0,0,7.8958
1236,1,3,1,21,0,0,7.65
1237,1,3,0,29,0,0,7.775
1238,0,3,0,38,0,0,7.8958
1239,1,3,1,28,1,0,24.15
1240,0,1,0,47,0,0,52
1241,0,3,1,14.5,1,0,14.4542
1242,0,3,0,22,0,0,8.05
1243,0,3,1,20,1,0,9.825
1244,0,3,1,17,0,0,14.4583
1245,0,3,0,21,0,0,7.925
1246,0,3,0,70.5,0,0,7.75
1247,0,2,0,29,1,0,21
1248,0,1,0,24,0,1,247.5208
1249,0,3,1,2,4,2,31.275
1250,0,2,0,21,2,0,73.5
1251,0,3,0,19,0,0,8.05
1252,0,2,0,32.5,1,0,30.0708
1253,1,2,1,32.5,0,0,13
1254,0,1,0,54,0,1,77.2875
1255,1,3,0,12,1,0,11.2417
1256,0,3,0,19,0,0,7.75
1257,1,3,0,24,0,0,7.1417
1258,1,3,1,2,1,1,22.3583
1259,0,3,0,45,0,0,6.975
1260,0,3,0,33,0,0,7.8958
1261,0,3,0,20,0,0,10.5
1262,0,3,1,47,1,0,8.1583
1263,1,2,1,29,1,0,7.925
1264,0,2,0,25,0,0,8.6625
1265,0,2,0,23,0,0,10.5
1266,1,1,1,19,0,2,46.9
1267,0,1,0,37,1,0,73.5
1268,0,3,0,16,0,0,14.4542
1269,0,1,0,24,0,0,56.4958
1270,1,1,0,43,2,0,74.5
1271,1,2,0,26,0,0,24.5622
1272,1,1,1,32,0,0,76.2917
1273,0,2,0,30,0,0,10.5
1274,1,3,0,16,0,0,8.05
1275,0,2,0,27,0,0,13
1276,0,3,0,51,0,0,8.05
1277,0,3,0,22,0,0,7.8958
1278,1,1,0,38,1,0,90
1279,0,3,0,22,0,0,9.35
1280,1,2,0,19,0,0,10.5
1281,0,3,0,20,0,0,7.25
1282,0,2,0,18,0,0,13
1283,0,3,1,12,3,1,25.4667
1284,1,1,1,35,1,0,83.475
1285,0,3,0,29,0,0,7.775
1286,0,2,0,59,0,0,13.5
1287,1,3,1,5,4,2,31.3875
1288,0,2,0,24,0,0,10.5
1289,0,3,1,21,0,0,7.55
1290,0,2,0,44,1,0,26
1291,1,2,1,8,0,2,26.25
1292,0,2,0,19,0,0,10.5
1293,0,2,0,33,0,0,12.275
1294,0,3,1,19,1,0,14.4542
1295,1,3,1,18,1,0,15.5
1296,0,2,0,29,0,0,10.5
1297,0,3,0,22,0,0,7.125
1298,0,3,0,30,0,0,7.225
1299,0,1,0,44,2,0,90
1300,0,3,1,25,0,0,7.775
1301,1,2,1,24,0,2,14.5
1302,1,1,0,37,1,1,52.5542
1303,0,2,0,54,1,0,26
1304,0,3,0,18,0,0,7.25
1305,0,3,1,29,1,1,10.4625
1306,0,1,0,62,0,0,26.55
1307,0,3,0,30,1,0,16.1
1308,0,3,1,41,0,2,20.2125
1309,1,3,1,29,0,2,15.2458
1310,1,1,1,38,0,0,79.2
1311,1,1,1,30,0,0,86.5
1312,1,1,1,35,0,0,512.3292
1313,1,2,1,50,0,1,26
1314,1,3,0,3,4,2,31.3875
1315,0,1,0,52,1,1,79.65
1316,0,1,0,40,0,0,0
1317,0,3,1,21,0,0,7.75
1318,0,2,0,36,0,0,10.5
1319,0,3,0,16,4,1,39.6875
1320,1,3,0,25,1,0,7.775
1321,1,1,1,58,0,1,153.4625
1322,1,1,1,35,0,0,135.6333
1323,0,1,0,28,0,0,31
1324,1,3,0,25,0,0,0
1325,1,2,1,41,0,1,19.5
1326,0,1,0,37,0,1,29.7
1327,1,3,1,33,0,0,7.75
1328,1,1,1,63,1,0,77.9583
1329,0,3,1,45,0,0,7.75
1330,0,2,0,21,0,0,0
1331,0,3,0,7,4,1,29.125
1332,1,3,1,35,1,1,20.25
1333,0,3,0,65,0,0,7.75
1334,0,3,0,28,0,0,7.8542
1335,0,3,0,16,0,0,9.5
1336,1,3,0,19,0,0,8.05
1337,0,1,0,57,0,0,26
1338,0,3,0,33,0,0,8.6625
1339,1,3,0,30,0,0,9.5
1340,0,3,0,22,0,0,7.8958
1341,1,2,0,42,0,0,13
1342,1,3,1,22,0,0,7.75
1343,1,1,1,26,0,0,78.85
1344,1,1,1,19,1,0,91.0792
1345,0,2,0,36,0,0,12.875
1346,0,3,1,24,0,0,8.85
1347,0,3,0,24,0,0,7.8958
1348,0,1,0,30,0,0,27.7208
1349,0,3,0,23,0,0,7.2292
1350,0,1,1,2,1,2,151.55
1351,1,1,0,47,0,0,30.5
1352,1,1,1,50,0,1,247.5208
1353,1,3,1,20,0,0,7.75
1354,1,3,0,24,2,0,23.25
1355,0,3,0,19,0,0,0
1356,1,2,1,46,0,0,12.35
1357,0,3,0,28,0,0,8.05
1358,1,1,0,1,1,2,151.55
1359,1,1,1,42,0,0,110.8833
1360,1,1,1,17,1,0,108.9
1361,0,2,0,30,1,0,24
1362,1,1,1,30,0,0,56.9292
1363,1,1,1,24,0,0,83.1583
1364,1,1,1,18,2,2,262.375
1365,0,2,1,26,1,1,26
1366,0,3,0,28,0,0,7.8958
1367,0,2,0,43,1,1,26.25
1368,1,3,1,26,0,0,7.8542
1369,1,2,1,24,1,0,26
1370,0,2,0,54,0,0,14
1371,1,1,1,31,0,2,164.8667
1372,1,1,1,40,1,1,134.5
1373,0,3,0,22,0,0,7.25
1374,0,3,0,27,0,0,7.8958
1375,1,2,1,30,0,0,12.35
1376,1,2,1,22,1,1,29
1377,0,3,0,20,8,2,69.55
1378,1,1,1,36,0,0,135.6333
1379,0,3,0,61,0,0,6.2375
1380,1,2,1,36,0,0,13
1381,1,3,1,31,1,1,20.525
1382,1,1,1,16,0,1,57.9792
1383,1,3,1,28,2,0,23.25
1384,0,1,0,46,0,0,28.5
1385,0,1,0,38,0,1,153.4625
1386,0,3,0,16,2,0,18
1387,1,1,1,42,1,0,133.65
1388,0,3,0,30,0,0,7.8958
1389,0,1,0,29,1,0,66.6
1390,1,1,1,41,0,0,134.5
1391,1,3,0,45,0,0,8.05
1392,0,1,0,45,0,0,35.5
1393,1,2,0,2,1,1,26
1394,1,1,1,24,3,2,263
1395,0,2,0,28,0,0,13
1396,0,2,0,25,0,0,13
1397,0,2,0,36,0,0,13
1398,1,2,1,24,0,0,13
1399,1,2,1,40,0,0,13
1400,1,3,1,34,1,0,16.1
1401,1,3,0,3,1,1,15.9
1402,0,3,0,42,0,0,8.6625
1403,0,3,0,23,0,0,9.225
1404,0,1,0,43,0,0,35
1405,0,3,0,15,1,1,7.2292
1406,0,3,0,25,1,0,17.8
1407,0,3,0,23,0,0,7.225
1408,0,3,0,28,0,0,9.5
1409,1,1,1,22,0,1,55
1410,0,2,1,38,0,0,13
1411,1,3,1,22,0,0,7.8792
1412,1,3,1,23,0,0,7.8792
1413,0,3,0,40,1,4,27.9
1414,0,2,0,29,1,0,27.7208
1415,0,3,1,45,0,1,14.4542
1416,0,3,0,35,0,0,7.05
1417,0,3,0,27,1,0,15.5
1418,0,3,0,30,0,0,7.25
1419,1,1,1,60,1,0,75.25
1420,1,3,1,35,0,0,7.2292
1421,1,3,1,22,0,0,7.75
1422,1,1,1,24,0,0,69.3
1423,1,1,0,25,1,0,55.4417
1424,0,3,0,18,1,0,6.4958
1425,0,3,0,19,0,0,8.05
1426,0,1,0,22,0,0,135.6333
1427,0,3,1,3,3,1,21.075
1428,1,1,1,25,1,0,82.1708
1429,1,3,1,22,0,0,7.25
1430,0,1,0,27,0,2,211.5
1431,0,3,0,20,0,0,4.0125
1432,0,3,0,19,0,0,7.775
1433,1,1,1,42,0,0,227.525
1434,1,3,1,1,0,2,15.7417
1435,0,3,0,32,0,0,7.925
1436,1,1,1,35,1,0,52
1437,0,3,0,27,0,0,7.8958
1438,0,2,0,18,0,0,73.5
1439,0,3,0,1,5,2,46.9
1440,1,2,1,36,0,0,13
1441,0,3,0,19,0,0,7.7292
1442,1,2,1,17,0,0,12
1443,1,1,0,36,1,2,120
1444,1,3,0,21,0,0,7.7958
1445,0,3,0,28,2,0,7.925
1446,1,1,1,23,1,0,113.275
1447,1,3,1,24,0,2,16.7
1448,0,3,0,22,0,0,7.7958
1449,0,3,1,31,0,0,7.8542
1450,0,2,0,46,0,0,26
1451,0,2,0,23,0,0,10.5
1452,1,2,1,28,0,0,12.65
1453,1,3,0,39,0,0,7.925
1454,0,3,0,26,0,0,8.05
1455,0,3,1,21,1,0,9.825
1456,0,3,0,28,1,0,15.85
1457,0,3,1,20,0,0,8.6625
1458,0,2,0,34,1,0,21
1459,0,3,0,51,0,0,7.75
1460,1,2,0,3,1,1,18.75
1461,0,3,0,21,0,0,7.775
1462,0,3,1,3,3,1,25.4667
1463,0,3,0,42,0,0,7.8958
1464,0,3,0,27,0,0,6.8583
1465,1,1,1,33,1,0,90
1466,0,2,0,22,0,0,0
1467,1,3,0,44,0,0,7.925
1468,0,3,1,32,0,0,8.05
1469,1,2,1,34,1,1,32.5
1470,1,2,1,18,0,2,13
1471,0,2,0,30,0,0,13
1472,0,3,1,10,0,2,24.15
1473,0,3,0,21,0,0,7.7333
1474,0,3,0,29,0,0,7.875
1475,0,3,1,28,1,1,14.4
1476,0,3,0,18,1,1,20.2125
1477,0,3,0,54,0,0,7.25
1478,1,2,1,28,1,0,26
1479,1,2,1,19,0,0,26
1480,0,3,0,28,0,0,7.75
1481,1,3,0,32,0,0,8.05
1482,1,1,0,28,0,0,26.55
1483,1,3,1,33,1,0,16.1
1484,1,2,1,42,1,0,26
1485,0,3,0,17,0,0,7.125
1486,0,1,0,50,1,0,55.9
1487,1,1,1,14,1,2,120
1488,0,3,1,21,2,2,34.375
1489,1,2,1,24,2,3,18.75
1490,0,1,0,64,1,4,263
1491,0,2,0,31,0,0,10.5
1492,1,2,1,45,1,1,26.25
1493,0,3,0,20,0,0,9.5
1494,0,3,0,25,1,0,7.775
1495,1,2,1,28,0,0,13
1496,1,3,0,29,0,0,8.1125
1497,1,1,0,4,0,2,81.8583
1498,1,2,1,13,0,1,19.5
1499,1,1,0,34,0,0,26.55
1500,1,3,1,5,2,1,19.2583
1501,1,1,0,52,0,0,30.5
1502,0,2,0,36,1,2,27.75
1503,0,3,0,28,1,0,19.9667
1504,0,1,0,30,0,0,27.75
1505,1,1,0,49,1,0,89.1042
1506,0,3,0,24,0,0,8.05
1507,1,3,0,29,0,0,7.8958
1508,0,1,0,65,0,0,26.55
1509,1,1,1,41,1,0,51.8625
1510,1,2,1,50,0,0,10.5
1511,0,3,0,17,0,0,7.75
1512,1,1,0,48,0,0,26.55
1513,0,3,0,34,0,0,8.05
1514,0,1,0,47,0,0,38.5
1515,0,2,0,48,0,0,13
